OBJECTID,WARD,ADDNUM,ADDSTR,LTLOCATION,RDLOCATION,OWNERSHIP,PARK,SPECIES,DBH,TREATMENT,EABTAGNUMB,DEDTAGNUMB
951,18,2185,RIVERSIDE DR,Front,N/A,City,0,Ash White,40,EAB,716,0
956,1,6018,VOYAGEUR DR,Front,N/A,City,-1,Ash White,28,EAB,530,0
971,1,1756,GREY NUNS DR,Front,N/A,City,-1,Ash White,29,EAB,547,0
973,12,400,CLARENCE ST,Front,N/A,City,-1,Ash White,61,EAB,356,0
983,13,15,ROCKCLIFFE WAY,Front,N/A,City,-1,Ash Species,11,EAB,345,0
985,12,154,MANN AVE,Front,N/A,City,-1,Ash White,40,EAB,457,0
990,17,120,CLEGG ST,Front,N/A,City,-1,Ash White,55,EAB,467,0
991,17,120,CLEGG ST,Front,N/A,City,-1,Ash White,139,EAB,468,0
999,17,408,THIRD AVE,Front,N/A,City,0,Ash White,46,EAB,427,0
1007,14,616-29,MACLAREN ST,Front,N/A,City,0,Ash Species,41,EAB,421,0
1018,12,9,PATRO ST,Front,Boulevard,City,0,Ash White,38,EAB,352,0
1030,14,166,FRANK ST,Front,N/A,City,-1,Ash White,70,EAB,401,0
1037,12,179,YORK ST,Oppos,Boulevard,City,0,Ash White,29,EAB,370,0
1042,16,2960,RIVERSIDE DR,Front,N/A,City,-1,Ash White,37,EAB,710,0
1065,1,1109,ST. LUCIA PL,Front,N/A,City,0,Elm Prospector,5,,0,0
1071,11,983,CUMMINGS AVE,Side,N/A,City,0,Ginkgo,6,,0,0
1077,12,361,LACASSE AVE,Front,N/A,City,0,Mountain Ash  Oakleaf,5,,0,0
1079,12,373,SUSSEX DR,Side,N/A,City,0,Lilac  Japanese,5,,0,0
1090,11,2010,OGILVIE RD,Side,N/A,City,0,Linden Littleleaf,24,,0,0
1092,11,2010,OGILVIE RD,Side,N/A,City,0,Crabapple Species,16,,0,0
1120,11,22,BRIARCLIFFE DR,Front,N/A,City,0,,0,,0,0
1127,11,9,ROTHWELL DR,Front,N/A,Joint,0,Spruce Colorado,20,,0,0
1135,11,17,CEDAR RD,Rear,N/A,City,0,,0,,0,0
1140,11,1750,CYRVILLE RD,Side,N/A,City,0,Ash Species,0,,0,0
1150,11,15,KINDLE CRT,Front,N/A,City,0,Ash White,43,,0,0
1166,11,1191,MONTREAL RD,Side,N/A,City,0,,0,,0,0
1187,15,369,ISLAND PARK DR,Side,N/A,City,0,Locust Honey,5,,0,0
1188,15,506,DAWSON AVE,Front,N/A,City,0,Maple Red,5,,0,0
1194,15,65,SPENCER ST,Front,N/A,City,0,Lilac  Japanese,5,,0,0
1195,15,411,DOVERCOURT AVE,Front,N/A,City,-1,Spruce Colorado,5,,0,0
1204,11,30,ORIOLE DR,Front,N/A,City,0,Ash White,48,,0,0
1216,7,6,CYPRESS CRT,Rear,N/A,City,0,Crabapple Species,5,,0,0
1222,7,2370,WHITEHAVEN CRES,Front,N/A,City,0,Maple Sugar,5,,0,0
1224,8,1304,ADIRONDACK DR,Front,N/A,City,0,Elm Prospector,5,,0,0
1227,11,20,ROTHWELL DR,Front,N/A,City,0,,20,,0,0
1246,8,30,STAFFORD RD,Front,N/A,City,0,Hackberry,5,,0,0
